O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career
8.88,9.44,7.22,8.34,6.66,6.44,5.88,1.78,7.27,6.11,Diplomat
9.09,7.87,4.65,5.32,6.21,8.48,4.99,5.43,7.65,6.6,Ecologist
9.1,7.86,4.66,5.31,6.22,8.47,5,5.42,7.66,6.59,Ecologist
9.08,7.88,4.64,5.33,6.2,8.49,4.98,5.44,7.64,6.61,Ecologist
9.1,7.88,4.66,5.33,6.22,8.49,5,5.44,7.66,6.61,Ecologist
9.08,7.86,4.64,5.31,6.2,8.47,4.98,5.42,7.64,6.59,Ecologist
9.09,7.87,4.65,5.32,6.21,5.88,5.48,1.29,6.91,5.61,Ecologist
9.1,7.86,4.66,5.31,6.22,5.87,5.49,1.28,6.92,5.6,Ecologist
9.08,7.88,4.64,5.33,6.2,5.89,5.47,1.3,6.9,5.62,Ecologist
9.1,7.88,4.66,5.33,6.22,5.89,5.49,1.3,6.92,5.62,Ecologist
9.08,7.86,4.64,5.31,6.2,5.87,5.47,1.28,6.9,5.6,Ecologist
9.2,8.88,5.66,6.33,7.22,6.31,5.73,1.39,7.26,5.87,Ecologist
9.21,8.87,5.67,6.32,7.23,6.3,5.74,1.38,7.27,5.86,Ecologist
9.19,8.89,5.65,6.34,7.21,6.32,5.72,1.4,7.25,5.88,Ecologist
9.21,8.89,5.67,6.34,7.23,6.32,5.74,1.4,7.27,5.88,Ecologist
9.19,8.87,5.65,6.32,7.21,6.3,5.72,1.38,7.25,5.86,Ecologist
7.23,7.67,4.23,5.45,4.89,7.45,4.84,4.56,6.06,6.56,Electrical Engineer
7.43,7.87,4.43,5.65,5.09,7.65,5.04,4.76,6.26,6.76,Electrical Engineer
7.23,7.67,4.23,5.45,4.89,5.24,4.46,1.6,5.92,4.71,Electrical Engineer
7.43,7.87,4.43,5.65,5.09,5.38,4.6,1.62,6.08,4.85,Electrical Engineer
8.24,8.68,5.24,6.46,5.9,5.94,5.17,1.7,6.72,5.41,Electrical Engineer
8.44,8.88,5.44,6.66,6.1,6.08,5.31,1.72,6.88,5.55,Electrical Engineer
7.34,7.67,4.23,5.45,4.89,7.51,4.84,4.56,6.12,6.56,Electronics Design Engineer
7.54,7.87,4.43,5.65,5.09,7.71,5.04,4.76,6.32,6.76,Electronics Design Engineer
7.34,7.67,4.23,5.45,4.89,5.27,4.52,1.6,5.97,4.76,Electronics Design Engineer
7.54,7.87,4.43,5.65,5.09,5.41,4.66,1.62,6.13,4.9,Electronics Design Engineer
8.35,8.68,5.24,6.46,5.9,5.98,5.22,1.7,6.78,5.47,Electronics Design Engineer
8.55,8.88,5.44,6.66,6.1,6.12,5.36,1.72,6.94,5.61,Electronics Design Engineer
6.45,7.67,5.34,9.23,4.45,7.06,7.29,4.9,5.45,8.45,Elementary School Teacher
6.45,7.67,5.34,9.23,4.45,5,4.29,1.73,5.53,5.07,Elementary School Teacher
7.46,8.68,6.35,9.12,5.46,5.71,5,1.83,6.33,5.55,Elementary School Teacher
8.67,8.12,4.01,5.23,4.67,8.4,4.62,4.34,6.67,6.68,Environmental Engineer
8.12,8.67,4.67,5.23,4.11,8.4,4.95,4.39,6.12,6.95,Environmental Engineer
7.92,8.47,4.47,5.03,3.91,8.2,4.75,4.19,5.92,6.75,Environmental Engineer
8.67,8.12,4.01,5.23,4.67,5.85,5.14,1.85,6.77,5.38,Environmental Engineer
8.12,8.67,4.67,5.23,4.11,5.9,4.99,2.24,6.66,5.11,Environmental Engineer
7.92,8.47,4.47,5.03,3.91,5.76,4.85,2.22,6.5,4.97,Environmental Engineer
9.68,9.13,5.02,6.24,5.68,6.56,5.84,1.95,7.58,6.09,Environmental Engineer
9.13,9.68,5.68,6.24,5.12,6.61,5.7,2.34,7.47,5.81,Environmental Engineer
8.93,9.48,5.48,6.04,4.92,6.47,5.56,2.32,7.31,5.67,Environmental Engineer
9.12,7.45,4.23,5.67,3.78,8.29,4.95,4.01,6.45,6.56,Environmental Scientist
8.67,8.12,4.01,5.23,4.67,8.4,4.62,4.34,6.67,6.68,Environmental Scientist
8.87,8.32,4.21,5.43,4.87,8.6,4.82,4.54,6.87,6.88,Environmental Scientist
9.12,7.45,4.23,5.67,3.78,5.72,5.41,1.85,6.8,5.69,Environmental Scientist
8.67,8.12,4.01,5.23,4.67,5.85,5.14,1.85,6.77,5.38,Environmental Scientist
8.87,8.32,4.21,5.43,4.87,5.99,5.28,1.87,6.93,5.52,Environmental Scientist
8.23,8.46,5.24,6.68,4.79,5.85,5.16,1.95,6.65,5.45,Environmental Scientist
9.68,9.13,5.02,6.24,5.68,6.56,5.84,1.95,7.58,6.09,Environmental Scientist
9.88,9.33,5.22,6.44,5.88,6.7,5.98,1.97,7.74,6.23,Environmental Scientist
7.01,3.78,8.45,6.78,5.45,5.4,7.62,6.95,6.23,5.28,Event Photographer
7.02,3.77,8.46,6.77,5.46,5.39,7.63,6.94,6.24,5.27,Event Photographer
7,3.79,8.44,6.79,5.44,5.41,7.61,6.96,6.22,5.29,Event Photographer
7.02,3.79,8.46,6.79,5.46,5.41,7.63,6.96,6.24,5.29,Event Photographer
7,3.77,8.44,6.77,5.44,5.39,7.61,6.94,6.22,5.27,Event Photographer
7.01,3.78,8.45,6.78,5.45,3.62,5.2,0.12,4.64,4.86,Event Photographer
7.02,3.77,8.46,6.77,5.46,3.61,5.21,0.11,4.65,4.85,Event Photographer
7,3.79,8.44,6.79,5.44,3.63,5.19,0.13,4.63,4.87,Event Photographer
7.02,3.79,8.46,6.79,5.46,3.63,5.21,0.13,4.65,4.87,Event Photographer
7,3.77,8.44,6.77,5.44,3.61,5.19,0.11,4.63,4.85,Event Photographer
8.02,4.79,9.46,7.79,6.46,4.32,5.9,0.02,5.45,5.57,Event Photographer
8.03,4.78,9.47,7.78,6.47,4.31,5.91,0.01,5.46,5.56,Event Photographer
8.01,4.8,9.45,7.8,6.45,4.33,5.89,0.03,5.44,5.58,Event Photographer
8.03,4.8,9.47,7.8,6.47,4.33,5.91,0.03,5.46,5.58,Event Photographer
8.01,4.78,9.45,7.78,6.45,4.31,5.89,0.01,5.44,5.56,Event Photographer
6.67,6.01,8.45,8.23,4.34,6.34,8.34,6.4,5.51,7.12,Event Planner
6.68,6,8.46,8.22,4.35,6.33,8.35,6.39,5.52,7.11,Event Planner
6.66,6.02,8.44,8.24,4.33,6.35,8.33,6.41,5.5,7.13,Event Planner
6.68,6.02,8.46,8.24,4.35,6.35,8.35,6.41,5.52,7.13,Event Planner
6.66,6,8.44,8.22,4.33,6.33,8.33,6.39,5.5,7.11,Event Planner
6.67,6.01,8.45,8.23,4.34,4.41,5.03,1.1,5.14,4.98,Event Planner
6.68,6,8.46,8.22,4.35,4.4,5.04,1.09,5.15,4.97,Event Planner
6.66,6.02,8.44,8.24,4.33,4.42,5.02,1.11,5.13,4.99,Event Planner
6.68,6.02,8.46,8.24,4.35,4.42,5.04,1.11,5.15,4.99,Event Planner
6.66,6,8.44,8.22,4.33,4.4,5.02,1.09,5.13,4.97,Event Planner
7.68,7.02,9.46,9.24,5.35,5.11,5.73,1.2,5.95,5.69,Event Planner
7.69,7.01,9.47,9.23,5.36,5.1,5.74,1.19,5.96,5.68,Event Planner
7.67,7.03,9.45,9.25,5.34,5.12,5.72,1.21,5.94,5.7,Event Planner
7.69,7.03,9.47,9.25,5.36,5.12,5.74,1.21,5.96,5.7,Event Planner
7.67,7.01,9.45,9.23,5.34,5.1,5.72,1.19,5.94,5.68,Event Planner
7.21,7.98,5.43,9.32,6.21,7.6,7.38,5.82,6.71,8.65,Family Therapists
7.22,7.97,5.44,9.31,6.22,7.59,7.39,5.81,6.72,8.64,Family Therapists
7.2,7.99,5.42,9.33,6.2,7.61,7.37,5.83,6.7,8.66,Family Therapists
7.22,7.99,5.44,9.33,6.22,7.61,7.39,5.83,6.72,8.66,Family Therapists
7.2,7.97,5.42,9.31,6.2,7.59,7.37,5.81,6.7,8.64,Family Therapists
7.21,7.98,5.43,9.32,6.21,5.36,4.69,1.33,6,5.47,Family Therapists
7.22,7.97,5.44,9.31,6.22,5.35,4.7,1.32,6.01,5.46,Family Therapists
7.2,7.99,5.42,9.33,6.2,5.37,4.68,1.34,5.99,5.48,Family Therapists
7.22,7.99,5.44,9.33,6.22,5.37,4.7,1.34,6.01,5.48,Family Therapists
7.2,7.97,5.42,9.31,6.2,5.35,4.68,1.32,5.99,5.46,Family Therapists
8.22,8.99,6.44,4.5,7.22,6.06,5.4,1.43,6.81,5.01,Family Therapists
8.23,8.98,6.45,4.49,7.23,6.05,5.41,1.42,6.82,5,Family Therapists
8.21,9,6.43,4.51,7.21,6.07,5.39,1.44,6.8,5.02,Family Therapists
8.23,9,6.45,4.51,7.23,6.07,5.41,1.44,6.82,5.02,Family Therapists
8.21,8.98,6.43,4.49,7.21,6.05,5.39,1.42,6.8,5,Family Therapists
8.78,3.78,7.67,7.01,6.01,6.28,7.34,6.84,7.4,5.4,Fashion Designer
8.79,3.77,7.68,7,6.02,6.27,7.35,6.83,7.41,5.39,Fashion Designer
8.77,3.79,7.66,7.02,6,6.29,7.33,6.85,7.39,5.41,Fashion Designer
8.79,3.79,7.68,7.02,6.02,6.29,7.35,6.85,7.41,5.41,Fashion Designer
8.77,3.77,7.66,7,6,6.27,7.33,6.83,7.39,5.39,Fashion Designer
8.78,3.78,7.67,7.01,6.01,4.15,5.92,0.29,5.52,5.79,Fashion Designer
8.79,3.77,7.68,7,6.02,4.14,5.93,0.28,5.53,5.78,Fashion Designer
8.77,3.79,7.66,7.02,6,4.16,5.91,0.3,5.51,5.8,Fashion Designer
8.79,3.79,7.68,7.02,6.02,4.16,5.93,0.3,5.53,5.8,Fashion Designer
8.77,3.77,7.66,7,6,4.14,5.91,0.28,5.51,5.78,Fashion Designer
9.79,4.79,8.68,8.02,7.02,4.85,6.63,0.19,6.33,6.5,Fashion Designer
9.8,4.78,8.69,8.01,7.03,4.84,6.64,0.18,6.34,6.49,Fashion Designer
9.78,4.8,8.67,8.03,7.01,4.86,6.62,0.2,6.32,6.51,Fashion Designer
9.8,4.8,8.69,8.03,7.03,4.86,6.64,0.2,6.34,6.51,Fashion Designer
9.78,4.78,8.67,8.01,7.01,4.84,6.62,0.18,6.32,6.49,Fashion Designer
8.78,4.23,7.67,7.45,6.45,6.51,7.56,7.06,7.62,5.84,Fashion Stylist
8.98,4.43,7.87,7.65,6.65,6.71,7.76,7.26,7.82,6.04,Fashion Stylist
8.78,4.23,7.67,7.45,6.45,4.33,5.92,0.24,5.66,5.88,Fashion Stylist
8.98,4.43,7.87,7.65,6.65,4.47,6.06,0.22,5.82,6.02,Fashion Stylist
9.79,5.24,8.68,8.46,7.46,5.03,6.63,0.14,6.47,6.59,Fashion Stylist
8.12,5.44,8.88,8.66,7.66,4.61,5.84,0.12,5.69,5.79,Fashion Stylist
8.67,4.23,7.67,7.45,6.45,6.45,7.56,7.06,7.56,5.84,Film Director
8.87,4.43,7.87,7.65,6.65,6.65,7.76,7.26,7.76,6.04,Film Director
8.67,4.23,7.67,7.45,6.45,4.29,5.87,0.24,5.6,5.83,Film Director
8.87,4.43,7.87,7.65,6.65,4.43,6.01,0.22,5.76,5.97,Film Director
9.68,5.24,8.68,8.46,7.46,5,6.58,0.14,6.41,6.53,Film Director
9.88,5.44,8.88,8.66,7.66,5.14,6.72,0.12,6.57,6.67,Film Director
6.67,7.78,3.45,6.01,5.45,7.23,4.73,4.45,6.06,6.9,Financial Advisor
6.67,8.93,3.45,5.6,2.43,7.8,4.53,2.94,4.55,7.27,Financial Advisor
6.47,8.73,3.25,5.4,2.23,7.6,4.33,2.74,4.35,7.07,Financial Advisor
6.67,7.78,3.45,6.01,5.45,5.11,4.03,1.48,5.67,4.54,Financial Advisor
6.67,8.93,3.45,5.6,2.43,5.57,4.03,2.84,6.01,4.46,Financial Advisor
6.47,8.73,3.25,5.4,2.23,5.43,3.89,2.82,5.85,4.32,Financial Advisor
7.68,8.79,4.46,7.02,6.46,5.82,4.73,1.58,6.48,5.24,Financial Advisor
7.68,8.45,4.46,6.61,3.44,5.68,4.73,2.35,6.38,5.16,Financial Advisor
7.48,9.74,4.26,6.41,3.24,6.14,4.59,2.92,6.66,5.02,Financial Advisor
6.78,8.67,5.23,6.45,4.01,7.73,5.84,4.62,5.4,7.56,Financial Analyst
6.77,8.68,5.22,6.46,4,7.74,5.83,4.63,5.39,7.57,Financial Analyst
6.79,8.66,5.24,6.44,4.02,7.72,5.85,4.61,5.41,7.55,Financial Analyst
6.77,8.66,5.22,6.44,4,7.72,5.83,4.61,5.39,7.55,Financial Analyst
6.79,8.68,5.24,6.46,4.02,7.74,5.85,4.63,5.41,7.57,Financial Analyst
6.78,8.67,5.23,6.45,4.01,5.5,4.44,2.27,5.99,4.68,Financial Analyst
6.77,8.68,5.22,6.46,4,5.51,4.43,2.28,5.98,4.69,Financial Analyst
6.79,8.66,5.24,6.44,4.02,5.49,4.45,2.26,6,4.67,Financial Analyst
6.77,8.66,5.22,6.44,4,5.49,4.43,2.26,5.98,4.67,Financial Analyst
6.79,8.68,5.24,6.46,4.02,5.51,4.45,2.28,6,4.69,Financial Analyst
7.79,9.68,6.24,7.46,5.02,6.21,5.14,2.37,6.8,5.39,Financial Analyst
7.78,9.69,6.23,7.47,5.01,6.22,5.13,2.38,6.79,5.4,Financial Analyst
7.8,9.67,6.25,7.45,5.03,6.2,5.15,2.36,6.81,5.38,Financial Analyst
7.78,9.67,6.23,7.45,5.01,6.2,5.13,2.36,6.79,5.38,Financial Analyst
7.8,9.69,6.25,7.47,5.03,6.22,5.15,2.38,6.81,5.4,Financial Analyst
6.78,8.67,4.45,6.01,4.78,7.73,5.23,4.62,5.78,7.34,Financial Auditor
6.77,8.68,4.44,6.02,4.77,7.74,5.22,4.63,5.77,7.35,Financial Auditor
6.79,8.66,4.46,6,4.79,7.72,5.24,4.61,5.79,7.33,Financial Auditor
6.77,8.66,4.44,6,4.77,7.72,5.22,4.61,5.77,7.33,Financial Auditor
6.79,8.68,4.46,6.02,4.79,7.74,5.24,4.63,5.79,7.35,Financial Auditor
6.78,8.67,4.45,6.01,4.78,5.5,4.28,2.03,5.99,4.59,Financial Auditor
6.77,8.68,4.44,6.02,4.77,5.51,4.27,2.04,5.98,4.6,Financial Auditor
6.79,8.66,4.46,6,4.79,5.49,4.29,2.02,6,4.58,Financial Auditor
6.77,8.66,4.44,6,4.77,5.49,4.27,2.02,5.98,4.58,Financial Auditor
6.79,8.68,4.46,6.02,4.79,5.51,4.29,2.04,6,4.6,Financial Auditor
7.79,9.68,5.46,7.02,5.79,6.21,4.99,2.14,6.8,5.3,Financial Auditor
7.78,9.69,5.45,7.03,5.78,6.22,4.98,2.15,6.79,5.31,Financial Auditor
7.8,9.67,5.47,7.01,5.8,6.2,5,2.13,6.81,5.29,Financial Auditor
7.78,9.67,5.45,7.01,5.78,6.2,4.98,2.13,6.79,5.29,Financial Auditor
7.8,9.69,5.47,7.03,5.8,6.22,5,2.15,6.81,5.31,Financial Auditor
5.67,8.78,6.67,6.34,4.34,7.23,6.51,5.51,5.01,7.56,Financial Planner
5.66,8.79,6.66,6.35,4.33,7.24,6.5,5.52,5,7.57,Financial Planner
5.68,8.77,6.68,6.33,4.35,7.22,6.52,5.5,5.02,7.55,Financial Planner
5.66,8.77,6.66,6.33,4.33,7.24,6.52,5.52,5.02,7.57,Financial Planner
5.68,8.79,6.68,6.35,4.35,7.22,6.5,5.5,5,7.55,Financial Planner
5.67,8.78,6.67,6.34,4.34,5.21,4.17,2.21,5.47,4.1,Financial Planner
5.66,8.79,6.66,6.35,4.33,5.22,4.16,2.22,5.46,4.11,Financial Planner
5.68,8.77,6.68,6.33,4.35,5.2,4.18,2.2,5.48,4.09,Financial Planner
5.66,8.77,6.66,6.33,4.33,5.2,4.16,2.2,5.46,4.09,Financial Planner
5.68,8.79,6.68,6.35,4.35,5.22,4.18,2.22,5.48,4.11,Financial Planner
6.68,9.79,7.68,7.35,5.35,5.92,4.88,2.31,6.28,4.81,Financial Planner
6.67,9.8,7.67,7.36,5.34,5.93,4.87,2.32,6.27,4.82,Financial Planner
6.69,9.78,7.69,7.34,5.36,5.91,4.89,2.3,6.29,4.8,Financial Planner
6.67,9.78,7.67,7.34,5.34,5.91,4.87,2.3,6.27,4.8,Financial Planner
6.69,9.8,7.69,7.36,5.36,5.93,4.89,2.32,6.29,4.82,Financial Planner
4.34,8.89,4.78,6.45,2.33,6.62,5.62,3.56,3.34,7.67,Flight Instector
4.33,8.9,4.77,6.46,2.32,6.63,5.61,3.57,3.33,7.68,Flight Instector
4.35,8.88,4.79,6.44,2.34,6.61,5.63,3.55,3.35,7.66,Flight Instector
4.33,8.88,4.77,6.44,2.32,6.61,5.61,3.55,3.33,7.66,Flight Instector
4.35,8.9,4.79,6.46,2.34,6.63,5.63,3.57,3.35,7.68,Flight Instector
4.34,8.89,4.78,6.45,2.33,4.86,3.13,2.86,4.84,3.46,Flight Instector
4.33,8.9,4.77,6.46,2.32,4.87,3.12,2.87,4.83,3.47,Flight Instector
4.35,8.88,4.79,6.44,2.34,4.85,3.14,2.85,4.85,3.45,Flight Instector
4.33,8.88,4.77,6.44,2.32,4.85,3.12,2.85,4.83,3.45,Flight Instector
4.35,8.9,4.79,6.46,2.34,4.87,3.14,2.87,4.85,3.47,Flight Instector
5.35,9.9,5.79,7.46,3.34,5.57,3.83,2.96,5.65,4.17,Flight Instector
5.34,9.91,5.78,7.47,3.33,5.58,3.82,2.97,5.64,4.18,Flight Instector
5.36,9.89,5.8,7.45,3.35,5.56,3.84,2.95,5.66,4.16,Flight Instector
5.34,9.89,5.78,7.45,3.33,5.56,3.82,2.95,5.64,4.16,Flight Instector
5.36,9.91,5.8,7.47,3.35,5.58,3.84,2.97,5.66,4.18,Flight Instector
7.67,8.23,6.01,9.12,5.45,7.95,7.57,5.73,6.56,8.68,Foreign Service Officer
7.87,8.43,6.21,9.32,5.65,8.15,7.77,5.93,6.76,8.88,Foreign Service Officer
7.67,8.23,6.01,9.12,5.45,5.59,5.04,1.66,6.3,5.66,Foreign Service Officer
7.87,8.43,6.21,9.32,5.65,5.73,5.18,1.68,6.46,5.8,Foreign Service Officer
8.68,9.24,7.02,8.2,6.46,6.3,5.74,1.76,7.11,5.98,Foreign Service Officer
8.88,9.44,7.22,9.2,6.66,6.44,5.88,1.78,7.27,6.28,Foreign Service Officer
8.67,7.78,4.45,5.12,6.01,8.23,4.79,5.23,7.34,6.45,Forensic Psychologist
8.87,7.98,4.65,5.32,6.21,8.43,4.99,5.43,7.54,6.65,Forensic Psychologist
8.78,7.67,4.01,5.12,4.67,8.23,4.57,4.34,6.73,6.4,Forensic Psychologist
8.67,7.78,4.45,5.12,6.01,5.71,5.23,1.31,6.67,5.36,Forensic Psychologist
8.87,7.98,4.65,5.32,6.21,5.85,5.37,1.33,6.83,5.5,Forensic Psychologist
8.78,7.67,4.01,5.12,4.67,5.7,5.19,1.67,6.69,5.41,Forensic Psychologist
9.68,8.79,5.46,6.13,7.02,6.42,5.93,1.41,7.48,6.07,Forensic Psychologist
9.88,8.99,5.66,6.33,7.22,6.56,6.07,1.43,7.64,6.21,Forensic Psychologist
9.79,8.68,5.02,6.13,5.68,6.41,5.9,1.77,7.5,6.12,Forensic Psychologist
8.78,7.67,4.01,5.12,4.67,8.23,4.57,4.34,6.73,6.4,Forensic Scientist
8.58,7.47,3.81,4.92,4.47,8.03,4.37,4.14,6.53,6.2,Forensic Scientist
8.78,7.67,4.01,5.12,4.67,5.7,5.19,1.67,6.69,5.41,Forensic Scientist
8.58,7.47,3.81,4.92,4.47,5.56,5.05,1.65,6.53,5.27,Forensic Scientist
9.79,8.68,5.02,6.13,5.68,6.41,5.9,1.77,7.5,6.12,Forensic Scientist
9.59,8.48,4.82,5.93,5.48,6.27,5.76,1.75,7.34,5.98,Forensic Scientist
7.45,7.12,4.67,8.67,6.34,7.29,6.67,5.51,6.9,7.9,Forestry Technician
7.65,7.32,4.87,8.87,6.54,7.49,6.87,5.71,7.1,8.1,Forestry Technician
7.45,7.12,4.67,8.67,6.34,5.08,4.66,0.95,5.86,5.46,Forestry Technician
7.65,7.32,4.87,8.87,6.54,5.22,4.8,0.97,6.02,5.6,Forestry Technician
8.46,8.13,5.68,9.68,7.35,5.79,5.37,1.05,6.67,6.17,Forestry Technician
8.66,8.33,5.88,9.88,7.55,5.93,5.51,1.07,6.83,6.31,Forestry Technician
6.23,4.23,8.45,7.98,6.45,5.23,8.22,7.45,6.34,6.11,Furniture Designer
6.22,4.24,8.44,7.99,6.44,5.24,8.21,7.46,6.33,6.12,Furniture Designer
6.24,4.22,8.46,7.97,6.46,5.22,8.23,7.44,6.35,6.1,Furniture Designer
6.22,4.22,8.44,7.97,6.44,5.22,8.21,7.44,6.33,6.1,Furniture Designer
6.24,4.24,8.46,7.99,6.46,5.24,8.23,7.46,6.35,6.12,Furniture Designer
6.23,4.23,8.45,7.98,6.45,3.56,4.81,0.24,4.38,4.71,Furniture Designer
6.22,4.24,8.44,7.99,6.44,3.57,4.8,0.25,4.37,4.72,Furniture Designer
6.24,4.22,8.46,7.97,6.46,3.55,4.82,0.23,4.39,4.7,Furniture Designer
6.22,4.22,8.44,7.97,6.44,3.55,4.8,0.23,4.37,4.7,Furniture Designer
6.24,4.24,8.46,7.99,6.46,3.57,4.82,0.25,4.39,4.72,Furniture Designer
7.24,5.24,9.46,8.99,7.46,4.27,5.51,0.14,5.19,5.42,Furniture Designer
7.23,5.25,9.45,9,7.45,4.28,5.5,0.15,5.18,5.43,Furniture Designer
7.25,5.23,9.47,8.98,7.47,4.26,5.52,0.13,5.2,5.41,Furniture Designer
7.23,5.23,9.45,8.98,7.45,4.26,5.5,0.13,5.18,5.41,Furniture Designer
7.25,5.25,9.47,9,7.47,4.28,5.52,0.15,5.2,5.43,Furniture Designer
8.98,4.43,7.87,7.65,6.65,6.71,7.76,7.26,7.82,6.04,Game Designer
8.97,4.44,7.86,7.66,6.64,6.72,7.75,7.27,7.81,6.05,Game Designer
8.99,4.42,7.88,7.64,6.66,6.7,7.77,7.25,7.83,6.03,Game Designer
8.97,4.42,7.86,7.64,6.64,6.7,7.75,7.25,7.81,6.03,Game Designer
8.99,4.44,7.88,7.66,6.66,6.72,7.77,7.27,7.83,6.05,Game Designer
8.98,4.43,7.87,7.65,6.65,4.47,6.06,0.22,5.82,6.02,Game Designer
8.97,4.44,7.86,7.66,6.64,4.48,6.05,0.23,5.81,6.03,Game Designer
8.99,4.42,7.88,7.64,6.66,4.46,6.07,0.21,5.83,6.01,Game Designer
8.97,4.42,7.86,7.64,6.64,4.46,6.05,0.21,5.81,6.01,Game Designer
8.99,4.44,7.88,7.66,6.66,4.48,6.07,0.23,5.83,6.03,Game Designer
8.23,5.44,8.88,8.66,7.66,4.65,5.89,0.12,5.75,5.85,Game Designer
8.22,5.45,8.87,8.65,7.65,4.66,5.88,0.13,5.74,5.86,Game Designer
8.24,5.43,8.89,8.65,7.67,4.64,5.9,0.11,5.76,5.84,Game Designer
8.22,5.43,8.87,8.65,7.65,4.64,5.88,0.11,5.74,5.84,Game Designer
8.24,5.45,8.89,8.67,7.67,4.66,5.9,0.13,5.76,5.86,Game Designer
9.12,7.45,5.45,5.23,4.67,8.29,5.34,5.06,6.9,6.34,Game Developer
8.78,9.34,5.45,5.23,4.67,9.06,5.34,5.06,6.73,7.29,Game Developer
8.58,9.14,5.25,5.03,4.47,8.86,5.14,4.86,6.53,7.09,Game Developer
9.12,7.45,5.45,5.23,4.67,5.72,5.65,1.58,6.8,5.61,Game Developer
8.78,9.34,5.45,5.23,4.67,6.37,5.48,2.34,7.19,5.44,Game Developer
8.58,9.14,5.25,5.03,4.47,6.23,5.34,2.32,7.03,5.3,Game Developer
9.2,8.46,6.46,6.24,5.68,6.14,5.89,1.68,7.14,5.85,Game Developer
9.79,8.7,6.46,6.24,5.68,6.42,6.19,1.78,7.51,6.14,Game Developer
9.59,9.45,6.26,6.04,5.48,6.66,6.05,2.14,7.63,6,Game Developer
7.78,7.34,5.23,9.12,6.01,7.56,7.18,5.62,6.9,8.23,Genetic Counselor
7.98,7.54,5.43,9.32,6.21,7.76,7.38,5.82,7.1,8.43,Genetic Counselor
7.78,7.34,5.23,9.12,6.01,5.27,4.94,1.13,6.09,5.71,Genetic Counselor
7.98,7.54,5.43,9.32,6.21,5.41,5.08,1.15,6.25,5.85,Genetic Counselor
9.34,8.35,6.24,9.23,7.02,6.14,5.92,1.23,7.18,6.52,Genetic Counselor
8.99,8.55,6.45,6.5,7.22,6.12,5.79,1.25,7.06,5.8,Genetic Counselor
9.12,7.45,4.01,5.23,4.67,8.29,4.62,4.34,6.9,6.34,Geologist
9.5,8.1,4.01,5.23,3.1,8.8,4.62,3.56,6.3,6.67,Geologist
9.3,7.9,3.81,5.03,2.9,8.6,4.42,3.36,6.1,6.47,Geologist
9.12,7.45,4.01,5.23,4.67,5.72,5.36,1.58,6.8,5.61,Geologist
9.5,8.1,4.01,5.23,3.1,6.09,5.55,2.31,7.18,5.8,Geologist
9.3,7.9,3.81,5.03,2.9,5.95,5.41,2.29,7.02,5.66,Geologist
9.12,8.46,5.02,6.24,5.68,6.12,5.56,1.68,7.1,5.81,Geologist
9.23,9.11,5.02,6.24,4.11,6.41,5.62,2.41,7.35,5.86,Geologist
9.45,8.91,4.82,6.04,3.91,6.4,5.69,2.39,7.4,5.94,Geologist
7.45,7.78,6.01,8.67,6.45,7.62,7.34,6.23,6.95,8.23,Human Rights Lawyer
7.65,7.98,6.21,8.87,6.65,7.82,7.54,6.43,7.15,8.43,Human Rights Lawyer
7.45,7.78,6.01,8.67,6.45,5.35,4.93,1.18,6.06,5.46,Human Rights Lawyer
7.65,7.98,6.21,8.87,6.65,5.49,5.07,1.2,6.22,5.6,Human Rights Lawyer
8.46,8.79,7.02,9.68,7.46,6.05,5.63,1.28,6.87,6.17,Human Rights Lawyer
8.66,8.99,7.22,9.88,7.66,6.19,5.77,1.3,7.03,6.31,Human Rights Lawyer
6.78,8.45,3.45,6.45,5.45,7.62,4.95,4.45,6.12,7.45,Insurance Underwriter
6.98,8.65,3.65,6.65,5.65,7.82,5.15,4.65,6.32,7.65,Insurance Underwriter
6.78,8.45,3.45,6.45,5.45,5.41,4.08,1.75,5.93,4.68,Insurance Underwriter
6.98,8.65,3.65,6.65,5.65,5.55,4.22,1.77,6.09,4.82,Insurance Underwriter
7.79,9.46,4.46,7.46,6.46,6.12,4.79,1.85,6.73,5.39,Insurance Underwriter
7.99,9.66,4.66,7.66,6.66,6.26,4.93,1.87,6.89,5.53,Insurance Underwriter
8.45,4.23,7.67,7.23,6.45,6.34,7.45,7.06,7.45,5.73,Interior Designer
6.23,4.23,8.45,7.98,6.45,5.23,8.22,7.45,6.34,6.11,Interior Designer
6.03,4.03,8.25,7.78,6.25,5.03,8.02,7.25,6.14,5.91,Interior Designer
8.45,4.23,7.67,7.23,6.45,4.23,5.76,0.24,5.49,5.67,Interior Designer
6.23,4.23,8.45,7.98,6.45,3.56,4.81,0.24,4.38,4.71,Interior Designer
6.03,4.03,8.25,7.78,6.25,3.42,4.67,0.26,4.22,4.57,Interior Designer
9.46,5.24,8.68,8.24,7.46,4.93,6.47,0.14,6.3,6.38,Interior Designer
7.24,5.24,9.46,8.99,7.46,4.27,5.51,0.14,5.19,5.42,Interior Designer
7.04,5.04,9.26,8.79,7.26,4.13,5.37,0.16,5.03,5.28,Interior Designer
7.23,8.23,8.67,6.45,6.01,7.73,7.56,7.34,6.62,7.34,Investment Banker
7.43,8.43,8.87,6.65,6.21,7.93,7.76,7.54,6.82,7.54,Investment Banker
